OpenBLAS,
time,m,n,k,threads,
2.64249,4000,4000,4000,4,
1.49622,4000,4000,4000,12,
1.36696,4000,4000,4000,24,
1.49395,4000,4000,4000,48,
1.75358,4000,4000,4000,72,
1.87149,4000,4000,4000,96,
4.27614,4000,4000,8000,4,
2.43102,4000,4000,8000,12,
2.29288,4000,4000,8000,24,
2.3737,4000,4000,8000,48,
2.64285,4000,4000,8000,72,
2.71135,4000,4000,8000,96,
5.99793,4000,4000,12000,4,
3.24989,4000,4000,12000,12,
3.03594,4000,4000,12000,24,
3.05472,4000,4000,12000,48,
3.55532,4000,4000,12000,72,
3.67123,4000,4000,12000,96,
8.29195,4000,8000,4000,4,
4.08781,4000,8000,4000,12,
3.41566,4000,8000,4000,24,
3.72984,4000,8000,4000,48,
4.18734,4000,8000,4000,72,
4.4867,4000,8000,4000,96,
11.8771,4000,8000,8000,4,
5.90686,4000,8000,8000,12,
5.25704,4000,8000,8000,24,
6.12266,4000,8000,8000,48,
6.03736,4000,8000,8000,72,
7.29779,4000,8000,8000,96,
15.8219,4000,8000,12000,4,
8.59248,4000,8000,12000,12,
8.45028,4000,8000,12000,24,
8.25081,4000,8000,12000,48,
7.639,4000,8000,12000,72,
9.08546,4000,8000,12000,96,
13.1663,4000,12000,4000,4,
6.035,4000,12000,4000,12,
5.17231,4000,12000,4000,24,
5.54781,4000,12000,4000,48,
6.35644,4000,12000,4000,72,
6.80062,4000,12000,4000,96,
18.9694,4000,12000,8000,4,
9.09283,4000,12000,8000,12,
9.73645,4000,12000,8000,24,
8.05991,4000,12000,8000,48,
9.20782,4000,12000,8000,72,
10.4946,4000,12000,8000,96,
25.1924,4000,12000,12000,4,
12.5509,4000,12000,12000,12,
12.5721,4000,12000,12000,24,
11.1375,4000,12000,12000,48,
13.1398,4000,12000,12000,72,
13.1642,4000,12000,12000,96,
6.40992,8000,4000,4000,4,
3.64324,8000,4000,4000,12,
3.48262,8000,4000,4000,24,
3.31942,8000,4000,4000,48,
3.65933,8000,4000,4000,72,
3.75361,8000,4000,4000,96,
10.4268,8000,4000,8000,4,
5.43747,8000,4000,8000,12,
4.98999,8000,4000,8000,24,
4.70882,8000,4000,8000,48,
5.77448,8000,4000,8000,72,
5.85762,8000,4000,8000,96,
13.8759,8000,4000,12000,4,
7.63757,8000,4000,12000,12,
6.89829,8000,4000,12000,24,
6.91653,8000,4000,12000,48,
7.95353,8000,4000,12000,72,
8.06554,8000,4000,12000,96,
12.6153,8000,8000,4000,4,
7.30964,8000,8000,4000,12,
6.88393,8000,8000,4000,24,
6.80595,8000,8000,4000,48,
7.33955,8000,8000,4000,72,
7.57469,8000,8000,4000,96,
19.1564,8000,8000,8000,4,
11.0554,8000,8000,8000,12,
10.1786,8000,8000,8000,24,
9.73466,8000,8000,8000,48,
10.6289,8000,8000,8000,72,
10.3696,8000,8000,8000,96,
25.3462,8000,8000,12000,4,
14.5859,8000,8000,12000,12,
13.4415,8000,8000,12000,24,
11.061,8000,8000,12000,48,
12.5656,8000,8000,12000,72,
14.0071,8000,8000,12000,96,
26.846,8000,12000,4000,4,
12.0572,8000,12000,4000,12,
10.944,8000,12000,4000,24,
11.2798,8000,12000,4000,48,
12.7252,8000,12000,4000,72,
13.5749,8000,12000,4000,96,
36.9346,8000,12000,8000,4,
17.4686,8000,12000,8000,12,
14.9196,8000,12000,8000,24,
15.0531,8000,12000,8000,48,
16.4529,8000,12000,8000,72,
16.7802,8000,12000,8000,96,
47.8079,8000,12000,12000,4,
22.2006,8000,12000,12000,12,
18.9117,8000,12000,12000,24,
17.9498,8000,12000,12000,48,
20.0774,8000,12000,12000,72,
20.5084,8000,12000,12000,96,
10.0198,12000,4000,4000,4,
5.03431,12000,4000,4000,12,
5.50226,12000,4000,4000,24,
5.45229,12000,4000,4000,48,
5.44493,12000,4000,4000,72,
5.4021,12000,4000,4000,96,
16.8425,12000,4000,8000,4,
8.67385,12000,4000,8000,12,
8.94954,12000,4000,8000,24,
8.55272,12000,4000,8000,48,
7.17958,12000,4000,8000,72,
8.28166,12000,4000,8000,96,
22.9634,12000,4000,12000,4,
11.3202,12000,4000,12000,12,
11.9368,12000,4000,12000,24,
9.97954,12000,4000,12000,48,
11.2788,12000,4000,12000,72,
11.4904,12000,4000,12000,96,
22.0067,12000,8000,4000,4,
12.5495,12000,8000,4000,12,
11.8394,12000,8000,4000,24,
11.4939,12000,8000,4000,48,
11.8746,12000,8000,4000,72,
12.1905,12000,8000,4000,96,
32.9491,12000,8000,8000,4,
19.2916,12000,8000,8000,12,
16.8396,12000,8000,8000,24,
17.4563,12000,8000,8000,48,
17.7115,12000,8000,8000,72,
17.8552,12000,8000,8000,96,
45.1121,12000,8000,12000,4,
24.8477,12000,8000,12000,12,
23.9454,12000,8000,12000,24,
23.1605,12000,8000,12000,48,
22.1885,12000,8000,12000,72,
22.8431,12000,8000,12000,96,
34.1583,12000,12000,4000,4,
19.0297,12000,12000,4000,12,
17.3184,12000,12000,4000,24,
17.5385,12000,12000,4000,48,
18.6784,12000,12000,4000,72,
18.3389,12000,12000,4000,96,
48.21,12000,12000,8000,4,
26.758,12000,12000,8000,12,
24.8598,12000,12000,8000,24,
24.3424,12000,12000,8000,48,
25.5952,12000,12000,8000,72,
25.35,12000,12000,8000,96,
62.7058,12000,12000,12000,4,
35.1454,12000,12000,12000,12,
31.0365,12000,12000,12000,24,
31.215,12000,12000,12000,48,
32.1302,12000,12000,12000,72,
32.3759,12000,12000,12000,96,
MKL,
time,m,n,k,threads,
1.33741,4000,4000,4000,4,
0.564315,4000,4000,4000,12,
0.368785,4000,4000,4000,24,
0.342079,4000,4000,4000,48,
0.358057,4000,4000,4000,72,
0.399782,4000,4000,4000,96,
2.09775,4000,4000,8000,4,
0.865132,4000,4000,8000,12,
0.669244,4000,4000,8000,24,
0.692365,4000,4000,8000,48,
0.637654,4000,4000,8000,72,
0.643664,4000,4000,8000,96,
2.42242,4000,4000,12000,4,
1.01848,4000,4000,12000,12,
0.733226,4000,4000,12000,24,
0.81839,4000,4000,12000,48,
0.814014,4000,4000,12000,72,
0.837841,4000,4000,12000,96,
3.85712,4000,8000,4000,4,
1.65406,4000,8000,4000,12,
1.20354,4000,8000,4000,24,
0.98905,4000,8000,4000,48,
1.02548,4000,8000,4000,72,
1.01522,4000,8000,4000,96,
5.4662,4000,8000,8000,4,
2.09063,4000,8000,8000,12,
1.51333,4000,8000,8000,24,
1.28961,4000,8000,8000,48,
1.29677,4000,8000,8000,72,
1.28741,4000,8000,8000,96,
7.73011,4000,8000,12000,4,
2.78661,4000,8000,12000,12,
2.0764,4000,8000,12000,24,
1.97269,4000,8000,12000,48,
1.97561,4000,8000,12000,72,
1.95915,4000,8000,12000,96,
5.48256,4000,12000,4000,4,
2.20152,4000,12000,4000,12,
1.41471,4000,12000,4000,24,
1.32356,4000,12000,4000,48,
1.33794,4000,12000,4000,72,
1.3355,4000,12000,4000,96,
9.23679,4000,12000,8000,4,
3.53096,4000,12000,8000,12,
2.39409,4000,12000,8000,24,
1.97811,4000,12000,8000,48,
1.98065,4000,12000,8000,72,
1.95327,4000,12000,8000,96,
13.113,4000,12000,12000,4,
4.52925,4000,12000,12000,12,
3.24494,4000,12000,12000,24,
2.94939,4000,12000,12000,48,
2.94045,4000,12000,12000,72,
2.9941,4000,12000,12000,96,
3.23964,8000,4000,4000,4,
1.50778,8000,4000,4000,12,
1.01263,8000,4000,4000,24,
0.938107,8000,4000,4000,48,
0.931148,8000,4000,4000,72,
0.94525,8000,4000,4000,96,
4.52289,8000,4000,8000,4,
1.86921,8000,4000,8000,12,
1.30124,8000,4000,8000,24,
1.12627,8000,4000,8000,48,
1.12329,8000,4000,8000,72,
1.16959,8000,4000,8000,96,
6.28748,8000,4000,12000,4,
2.53652,8000,4000,12000,12,
1.90551,8000,4000,12000,24,
1.90147,8000,4000,12000,48,
1.98527,8000,4000,12000,72,
1.92276,8000,4000,12000,96,
5.9071,8000,8000,4000,4,
2.58611,8000,8000,4000,12,
1.7023,8000,8000,4000,24,
1.55471,8000,8000,4000,48,
1.54002,8000,8000,4000,72,
1.56402,8000,8000,4000,96,
8.04577,8000,8000,8000,4,
3.17282,8000,8000,8000,12,
2.28661,8000,8000,8000,24,
1.95063,8000,8000,8000,48,
1.95868,8000,8000,8000,72,
1.95999,8000,8000,8000,96,
10.5105,8000,8000,12000,4,
4.20351,8000,8000,12000,12,
3.11603,8000,8000,12000,24,
3.28207,8000,8000,12000,48,
3.26198,8000,8000,12000,72,
3.27654,8000,8000,12000,96,
11.2696,8000,12000,4000,4,
4.16971,8000,12000,4000,12,
2.73349,8000,12000,4000,24,
2.52161,8000,12000,4000,48,
2.5536,8000,12000,4000,72,
2.54078,8000,12000,4000,96,
16.4969,8000,12000,8000,4,
6.35135,8000,12000,8000,12,
4.37237,8000,12000,8000,24,
3.66361,8000,12000,8000,48,
3.6101,8000,12000,8000,72,
3.61363,8000,12000,8000,96,
23.02,8000,12000,12000,4,
8.57314,8000,12000,12000,12,
5.81417,8000,12000,12000,24,
5.41603,8000,12000,12000,48,
5.40353,8000,12000,12000,72,
5.43605,8000,12000,12000,96,
4.51783,12000,4000,4000,4,
1.8779,12000,4000,4000,12,
1.23209,12000,4000,4000,24,
1.1406,12000,4000,4000,48,
1.15331,12000,4000,4000,72,
1.13128,12000,4000,4000,96,
7.26282,12000,4000,8000,4,
3.0223,12000,4000,8000,12,
1.98566,12000,4000,8000,24,
1.74292,12000,4000,8000,48,
1.7418,12000,4000,8000,72,
1.8258,12000,4000,8000,96,
10.0317,12000,4000,12000,4,
4.11946,12000,4000,12000,12,
2.81934,12000,4000,12000,24,
2.80864,12000,4000,12000,48,
2.79712,12000,4000,12000,72,
2.81109,12000,4000,12000,96,
9.7302,12000,8000,4000,4,
3.81686,12000,8000,4000,12,
2.51192,12000,8000,4000,24,
2.29496,12000,8000,4000,48,
2.30625,12000,8000,4000,72,
2.24011,12000,8000,4000,96,
14.2037,12000,8000,8000,4,
5.57799,12000,8000,8000,12,
3.89375,12000,8000,8000,24,
3.4727,12000,8000,8000,48,
3.48,12000,8000,8000,72,
3.29149,12000,8000,8000,96,
18.6176,12000,8000,12000,4,
7.50962,12000,8000,12000,12,
4.47508,12000,8000,12000,24,
5.2202,12000,8000,12000,48,
5.27054,12000,8000,12000,72,
5.28199,12000,8000,12000,96,
15.2379,12000,12000,4000,4,
5.67331,12000,12000,4000,12,
3.75683,12000,12000,4000,24,
3.43879,12000,12000,4000,48,
3.38359,12000,12000,4000,72,
3.44326,12000,12000,4000,96,
21.1081,12000,12000,8000,4,
7.98509,12000,12000,8000,12,
4.91327,12000,12000,8000,24,
4.74476,12000,12000,8000,48,
4.92342,12000,12000,8000,72,
4.86545,12000,12000,8000,96,
26.9152,12000,12000,12000,4,
10.3914,12000,12000,12000,12,
6.99931,12000,12000,12000,24,
7.14317,12000,12000,12000,48,
7.13859,12000,12000,12000,72,
7.11309,12000,12000,12000,96,
